KINVENT Physio 2.19.1,Devices: ,P126936 (FW 3.016) (250 Hz),P126695 (FW 3.016) (250 Hz)
Eyes Condition: ,Open
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-26.699
Lateral Mean Cop Position (mm),-7.918
Longitudinal Standard Deviation (mm),6.684
Lateral Standard Deviation (mm),4.132
Ellipse Surface (mm²),519.847
Total Displacement (mm),1316.408
Total Displacement AP (mm),966.885
Total Displacement ML (mm),684.607
Mean Velocity (mm/s),43.711
Mean Velocity AP (mm/s),32.105
Mean Velocity ML (mm/s),22.732
Longitudinal Amplitude (mm/s),38.317
Lateral Amplitude (mm/s),19.677
Amplitude Ratio,0.514
Phase Plane AP (mm),39.603
Phase Plane ML (mm),24.421
Max Distance AP (mm),44.091
Max Distance ML (mm),16.599
,Heel,Tip
Weight Distribution (%),59.1,40.9

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0,16.972749710083008,12.290100097656250,6.899050235748291,9.250900268554688,,0.6223,0.4440,
0.004,16.995149612426758,12.320500373840332,6.910049915313721,9.216799736022949,,0.6229,0.4445,
0.008,17.006925244947301,12.336677952798546,6.916813124738884,9.198090162053290,,0.6232,0.4448,
0.012,17.010678350532853,12.342377289628661,6.921439704883660,9.190121257633647,,0.6233,0.4449,
0.016,17.009374952616092,12.341059328336518,6.924042474586643,9.190184914617680,,0.6233,0.4449,
0.02,17.005181292668148,12.334385049268331,6.925623334331961,9.196932655383538,,0.6231,0.4448,
0.024,16.999077952888218,12.322719976932197,6.926923506399467,9.208361131144033,,0.6228,0.4447,
0.028,16.991580381731605,12.308086285678600,6.926632938651752,9.220887321087764,,0.6225,0.4445,
0.032,16.982928292820912,12.293465853171631,6.925115317008935,9.230639661843661,,0.6223,0.4444,
0.036,16.974573127128970,12.280864207979050,6.923319812393431,9.236971863195627,,0.6221,0.4443,
0.040100000023841856,16.967730702881759,12.271460723260121,6.921585752284581,9.242623110376854,,0.6219,0.4442,
0.04410000002384186,16.961792357733167,12.264951505640591,6.921074864994605,9.248272095817640,,0.6218,0.4441,
0.048100000023841856,16.956280817571329,12.259088881165095,6.921940647556913,9.253617162088231,,0.6216,0.4441,
0.05210000002384186,16.951346658447431,12.253470949769497,6.922922244365584,9.259642234886549,,0.6215,0.4440,
0.056100000023841856,16.946682018863836,12.249647383783326,6.923214609229126,9.265605609199085,,0.6214,0.4440,
0.06010000002384186,16.941982401702433,12.248190475053438,6.923200853411434,9.269904936420817,,0.6213,0.4440,
0.06410000002384186,16.937663937216421,12.249116346606026,6.923938354438125,9.272987404166184,,0.6212,0.4440,
0.06810000002384185,16.934392039092707,12.251654917836873,6.926289262496187,9.277033483597204,,0.6211,0.4440,
0.07210000002384186,16.932294865269281,12.254266981037661,6.930363729778515,9.282641018007686,,0.6210,0.4441,
0.07610000002384186,16.932515622544827,12.256722902603777,6.935756264541434,9.288856636159032,,0.6209,0.4441,
0.08010000002384186,16.937107201474355,12.259496197658720,6.941890316085728,9.295893794977662,,0.6208,0.4441,
0.08410000002384185,16.946159428217676,12.262806102665460,6.947843810531951,9.303033824550695,,0.6207,0.4441,
0.08810000002384186,16.958216049854865,12.268899280480735,6.953365846351543,9.308430425027332,,0.6207,0.4441,
0.09210000002384186,16.972099542001519,12.279896292980272,6.958760620037241,9.310706316686371,,0.6208,0.4441,
0.09610000002384186,16.986428159249655,12.293427458996435,6.963252752371350,9.310849303224456,,0.6209,0.4442,
0.10010000002384185,17.000215129051917,12.306530120788134,6.966897578852381,9.311453668008372,,0.6210,0.4442,
0.10410000002384186,17.014752107334260,12.318697652298191,6.970299745933954,9.312739362681844,,0.6211,0.4443,
0.10810000002384186,17.030926537650807,12.329305265061745,6.972411272118537,9.315198474779612,,0.6213,0.4443,
0.11210000002384186,17.045646870087602,12.338175862556295,6.973087067923533,9.320414344940165,,0.6213,0.4442,
0.11610000002384185,17.056770470835268,12.345555887140419,6.974006681274616,9.326828670241976,,0.6214,0.4442,
0.12,17.066045164356360,12.351096923884946,6.976361061043186,9.330513324056316,,0.6214,0.4441,
0.124,17.073977588171836,12.354834688759624,6.979961899100481,9.329842736771891,,0.6214,0.4442,
0.128,17.080281937530792,12.356930918117843,6.983966712353799,9.327197655238528,,0.6215,0.4442,
0.132,17.085445079494118,12.358858552020891,6.987141317699608,9.325601225959590,,0.6215,0.4442,
0.136,17.089249356881357,12.363176879548476,6.988541851930664,9.326061267871614,,0.6215,0.4442,
0.14,17.092467325563362,12.369490376934106,6.988102002227714,9.327982036063069,,0.6216,0.4443,
