KINVENT Physio 2.19.1,Devices: ,P126936 (FW 3.016) (250 Hz),P126695 (FW 3.016) (250 Hz)
Eyes Condition: ,Closed
Side: ,Left
Repetition:,1
Longitudinal Mean Cop Position (mm),-33.969
Lateral Mean Cop Position (mm),-4.404
Longitudinal Standard Deviation (mm),10.232
Lateral Standard Deviation (mm),4.956
Ellipse Surface (mm²),800.532
Total Displacement (mm),1795.871
Total Displacement AP (mm),1488.478
Total Displacement ML (mm),730.195
Mean Velocity (mm/s),59.553
Mean Velocity AP (mm/s),49.359
Mean Velocity ML (mm/s),24.214
Longitudinal Amplitude (mm/s),45.723
Lateral Amplitude (mm/s),26.596
Amplitude Ratio,0.582
Phase Plane AP (mm),55.020
Phase Plane ML (mm),25.698
Max Distance AP (mm),57.130
Max Distance ML (mm),21.252
,Heel,Tip
Weight Distribution (%),61.6,38.4

,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
0.11189999997615814,16.324234814025267,12.317306971491760,5.443621162413431,7.286348259484837,,0.6628,0.4489,
0.11589999997615814,16.335044568674988,12.326429211615775,5.457607891181643,7.297306106640232,,0.6626,0.4490,
0.12,16.349368215791287,12.339955803212474,5.473741020258518,7.312604504983658,,0.6623,0.4491,
0.124,16.368271553041815,12.356709648762973,5.490345180194863,7.331073652872028,,0.6621,0.4491,
0.128,16.390662081114172,12.373960863245983,5.508759048025047,7.349672217485614,,0.6618,0.4492,
0.132,16.413930151719725,12.391427897360149,5.531657822915003,7.367408861851453,,0.6615,0.4493,
0.136,16.436706072097536,12.408736761951234,5.556397991327010,7.384306272511514,,0.6612,0.4494,
0.14,16.457260253388505,12.424707716217446,5.578489946492474,7.400387628412091,,0.6609,0.4495,
0.144,16.473871804220671,12.439153513023793,5.596648050964026,7.415764671418533,,0.6606,0.4496,
0.148,16.487133215272834,12.451933589636134,5.611021219169361,7.431040288730333,,0.6603,0.4496,
0.152,16.498221704516446,12.461032447949190,5.623330031733490,7.446143274681979,,0.6601,0.4496,
0.156,16.506135457216867,12.464812184138285,5.635695821319524,7.461218528886807,,0.6598,0.4496,
0.16,16.509640434856511,12.464712263341241,5.648140209995829,7.476635135160535,,0.6594,0.4496,
0.164,16.510264295718834,12.463100114859069,5.660576485971191,7.490492662893181,,0.6590,0.4496,
0.168,16.510027615744001,12.461404704672294,5.674550443703737,7.502321998425279,,0.6587,0.4496,
0.172,16.510168591529890,12.460798921199389,5.690134778413219,7.513374345077040,,0.6583,0.4497,
0.176,16.512302353713984,12.462519712333972,5.704198484983831,7.522625906757211,,0.6580,0.4498,
