KINVENT Physio 2.19.1,Devices: ,P126695 (FW 3.016) (250 Hz),S120647 (FW 3.012) (125 Hz),P126936 (FW 3.016) (250 Hz)
Repetition:,1
Number of Reps,Duration (sec),Pace (reps/min)
10,14.916,40.225
Body Weight (kg),51.40
Number of Reps,Duration (sec),Pace (reps/min)
10,14.916,40.225
,Left,Right
Average Distribution,48.288,51.712
Distribution/Phase,Avg Left,Avg Right
Concentric,48.144,51.856
Eccentric,46.314,53.686
Max Force Per rep (kg),1,2,3,4,5,6,7,8,9,10,Average
,74.529,85.146,85.046,83.835,87.413,82.748,88.771,85.030,91.189,82.328,84.604
Max Amplitude Per rep (°),1,2,3,4,5,6,7,8,9,10,Average
,74.494,78.020,74.186,77.142,77.997,76.438,78.955,78.636,78.276,75.743,76.989
Avg Power/Phase (W),Concentric,Eccentric
,281.507,-265.164

Baseline Quaternion
x,-0.8226612272515942
y,0.20724200384385827
z,-0.15399010754085576
w,0.5065237445562041

,K-Plate Left,,,,,K-Plate Right,,,,,K-Move,,,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0.32,6.315249919891357,7.783899784088135,6.454450130462646,5.217700004577637,,9.077899932861328,5.942699909210205,3.960249900817871,6.598899841308594,,-0.747731849078560,0.273750242285404,-0.245429146985420,0.552871726782874,
0.324,6.285649776458740,7.783400058746338,6.428850173950195,5.219699859619141,,9.072600364685059,5.966400146484375,3.968149900436401,6.551899909973145,,-0.747731849078560,0.273750242285404,-0.245429146985420,0.552871726782874,
0.328,6.305850028991699,7.799399852752686,6.455349922180176,5.199800014495850,,9.084199905395508,5.984099864959717,3.975950002670288,6.553500175476074,,-0.747639062700274,0.273902383367416,-0.245550816331390,0.552870816388201,
0.332,6.325449943542480,7.750299930572510,6.434350013732910,5.207600116729736,,9.097200393676758,6.002699851989746,3.981750011444092,6.573800086975098,,-0.747639062700274,0.273902383367416,-0.245550816331390,0.552870816388201,
0.336,6.304649829864502,7.747700214385986,6.439650058746338,5.187099933624268,,9.114399909973145,5.987899780273438,3.977050065994263,6.579299926757813,,-0.747555364824201,0.274057855730611,-0.245644953315779,0.552846108748333,
0.34,6.293749809265137,7.744699954986572,6.453450202941895,5.205500125885010,,9.129699707031250,5.962299823760986,3.970050096511841,6.604599952697754,,-0.747555364824201,0.274057855730611,-0.245644953315779,0.552846108748333,
0.344,6.300549983978271,7.754199981689453,6.432250022888184,5.221700191497803,,9.123800277709961,5.968299865722656,3.950350046157837,6.601600170135498,,-0.747499574823615,0.274181855232734,-0.245707715547500,0.552819470802064,
0.348,6.300749778747559,7.746500015258789,6.422850131988525,5.222499847412109,,9.124199867248535,5.992499828338623,3.973550081253052,6.568699836730957,,-0.747499574823615,0.274181855232734,-0.245707715547500,0.552819470802064,
0.352,6.286149978637695,7.721300125122070,6.425449848175049,5.223899841308594,,9.115300178527832,5.968100070953369,3.935050010681152,6.607200145721436,,-0.747459463921534,0.274300410816869,-0.245765599500250,0.552812376672982,
0.356,6.267149925231934,7.710599899291992,6.421549797058105,5.198400020599365,,9.119600296020508,5.960400104522705,3.967050075531006,6.582300186157227,,-0.747459463921534,0.274300410816869,-0.245765599500250,0.552812376672982,
0.3598999999761581,6.286749839782715,7.739600181579590,6.412549972534180,5.200300216674805,,9.135000228881836,5.971199989318848,3.986249923706055,6.568299770355225,,-0.747422476260053,0.274389591443965,-0.245824508851199,0.552807591971524,
0.36389999997615813,6.286749839782715,7.727399826049805,6.439549922943115,5.223000049591064,,9.164199829101563,5.997799873352051,3.946049928665161,6.595200061798096,,-0.747422476260053,0.274389591443965,-0.245824508851199,0.552807591971524,
0.36789999997615813,6.287549972534180,7.713799953460693,6.440350055694580,5.217299938201904,,9.160900115966797,5.975299835205078,3.954449892044067,6.617000102996826,,-0.747391418537401,0.274450429845114,-0.245854849642193,0.552807192951673,
0.37189999997615814,6.300149917602539,7.737599849700928,6.430250167846680,5.201099872589111,,9.163999557495117,5.980999946594238,3.941649913787842,6.600699901580811,,-0.747391418537401,0.274450429845114,-0.245854849642193,0.552807192951673,
0.37589999997615814,6.331950187683105,7.726099967956543,6.432350158691406,5.241899967193604,,9.183199882507324,6.026899814605713,3.935849905014038,6.583799839019775,,-0.747362792913322,0.274481643164785,-0.245824953935106,0.552839111177460,
0.37989999997615814,6.313250064849854,7.731800079345703,6.439249992370605,5.222099781036377,,9.186100006103516,6.030900001525879,3.922450065612793,6.563199996948242,,-0.747362792913322,0.274481643164785,-0.245824953935106,0.552839111177460,
0.38389999997615815,6.296549797058105,7.719099998474121,6.428850173950195,5.228000164031982,,9.191699981689453,6.032599925994873,3.949949979782104,6.533400058746338,,-0.747327860356967,0.274510540015964,-0.245792983800842,0.552896881986572,
0.38789999997615815,6.323949813842773,7.729800224304199,6.444449901580811,5.232600212097168,,9.242199897766113,6.011799812316895,3.983750104904175,6.573800086975098,,-0.747327860356967,0.274510540015964,-0.245792983800842,0.552896881986572,
0.39189999997615815,6.306550025939941,7.727700233459473,6.439650058746338,5.222199916839600,,9.225700378417969,6.031700134277344,3.952450037002563,6.580699920654297,,-0.747321227295764,0.274538621396304,-0.245760284360208,0.552922492492022,
0.39589999997615816,6.316750049591064,7.747900009155273,6.469850063323975,5.227200031280518,,9.216099739074707,6.038300037384033,3.935849905014038,6.603899955749512,,-0.747321227295764,0.274538621396304,-0.245760284360208,0.552922492492022,
0.39989999997615816,6.328949928283691,7.744599819183350,6.491849899291992,5.245100021362305,,9.234999656677246,6.053899765014648,3.961849927902222,6.601900100708008,,-0.747329962371243,0.274511312133671,-0.245702120510081,0.552928955334947,
0.40389999997615816,6.303549766540527,7.717999935150146,6.451350212097168,5.241799831390381,,9.234299659729004,6.039199829101563,3.949949979782104,6.579699993133545,,-0.747329962371243,0.274511312133671,-0.245702120510081,0.552928955334947,
0.40789999997615817,6.310550212860107,7.729100227355957,6.445149898529053,5.249599933624268,,9.227399826049805,6.042900085449219,3.954849958419800,6.572199821472168,,-0.747338695664853,0.274484001503173,-0.245643954647436,0.552935416859515,
0.4118999999761581,6.335649967193604,7.715700149536133,6.436150074005127,5.274700164794922,,9.248900413513184,6.007699966430664,3.969150066375732,6.572899818420410,,-0.747338695664853,0.274484001503173,-0.245643954647436,0.552935416859515,
0.4158999999761581,6.297150135040283,7.713099956512451,6.448949813842773,5.295199871063232,,9.196200370788574,6.046299934387207,3.973850011825562,6.568900108337402,,-0.747344297607095,0.274486058995353,-0.245584758365089,0.552939561583035,
0.4198999999761581,6.273550033569336,7.706900119781494,6.473949909210205,5.283100128173828,,9.202400207519531,6.037799835205078,3.949949979782104,6.590400218963623,,-0.747344297607095,0.274486058995353,-0.245584758365089,0.552939561583035,
0.4238999999761581,6.307250022888184,7.712399959564209,6.501850128173828,5.246200084686279,,9.226200103759766,5.992400169372559,3.961549997329712,6.618500232696533,,-0.747347097929375,0.274487087503136,-0.245555159667582,0.552941633464734,
0.42789999997615813,6.283649921417236,7.707499980926514,6.509550094604492,5.266200065612793,,9.189299583435059,6.017799854278564,3.964649915695190,6.594099998474121,,-0.747347097929375,0.274487087503136,-0.245555159667582,0.552941633464734,
0.43189999997615813,6.277850151062012,7.730400085449219,6.508450031280518,5.295400142669678,,9.204999923706055,6.001599788665771,3.951050043106079,6.614799976348877,,-0.747344297607095,0.274486058995353,-0.245584758365089,0.552939561583035,
0.43589999997615814,6.281250000000000,7.696800231933594,6.502449989318848,5.279699802398682,,9.181799888610840,6.016799926757813,3.965850114822388,6.604599952697754,,-0.747344297607095,0.274486058995353,-0.245584758365089,0.552939561583035,
0.44,6.307750225067139,7.670100212097168,6.484849929809570,5.289000034332275,,9.143600463867188,5.997000217437744,3.985450029373169,6.589200019836426,,-0.747338366429374,0.274514399135586,-0.245613327875841,0.552935173267209,
0.444,6.314750194549561,7.675600051879883,6.473549842834473,5.292099952697754,,9.146300315856934,6.017099857330322,4.010350227355957,6.601500034332275,,-0.747338366429374,0.274514399135586,-0.245613327875841,0.552935173267209,
