KINVENT Physio 2.19.1,Devices: ,P126936 (FW 3.016) (250 Hz),P126695 (FW 3.016) (250 Hz)
Body Weight (kg),24.09
Repetition,1
Number of Reps,Pace (reps/min)
1,12.000
Max Strength (kg),Max Left Strength,Max Right Strength
37.002,18.642,18.361
Intensity Distribution (%),Left,Right
Low,50.541,49.459
Medium,49.765,50.235
High,51.017,48.983
,K-Plate Left,,,,,K-Plate Right,,,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0,3.877650022506714,3.486500024795532,2.457350015640259,2.519900083541870,,3.514300107955933,3.482899904251099,2.231750011444092,2.585000038146973,
0.004,3.873349905014038,3.504600048065186,2.490449905395508,2.523900032043457,,3.520400047302246,3.489399909973145,2.207250118255615,2.556900024414063,
0.008,3.861449956893921,3.497900009155273,2.481050014495850,2.514300107955933,,3.485399961471558,3.480200052261353,2.235850095748901,2.559099912643433,
0.012,3.849649906158447,3.479099988937378,2.450050115585327,2.521300077438354,,3.505199909210205,3.481400012969971,2.223550081253052,2.567899942398071,
0.016,3.838949918746948,3.483799934387207,2.482150077819824,2.522399902343750,,3.504699945449829,3.468499898910522,2.245150089263916,2.564800024032593,
0.02,3.854650020599365,3.494699954986572,2.530349969863892,2.505199909210205,,3.509700059890747,3.493900060653687,2.209049940109253,2.568000078201294,
0.024,3.875649929046631,3.508800029754639,2.511950016021729,2.474299907684326,,3.511699914932251,3.471400022506714,2.189650058746338,2.608700037002563,
0.028,3.871150016784668,3.477099895477295,2.488049983978271,2.496799945831299,,3.486200094223022,3.473099946975708,2.219249963760376,2.594700098037720,
0.032,3.839349985122681,3.483400106430054,2.492249965667725,2.505700111389160,,3.513499975204468,3.482100009918213,2.205650091171265,2.582900047302246,
0.036,3.879950046539307,3.487999916076660,2.494149923324585,2.515100002288818,,3.529099941253662,3.461600065231323,2.221849918365479,2.560400009155273,
0.040100000023841856,3.890549898147583,3.480700016021729,2.498450040817261,2.529099941253662,,3.481899976730347,3.443099975585938,2.209650039672852,2.564899921417236,
